,id,full_name,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,survey_response
1496,3118,Sam,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,31/12/18,95,Average,Neutral,Somewhat unsatisfied,Value2
1497,2629,George,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,31/12/18,90,Average,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1498,393,George,Friday,ALASKA,INDIANAPOLIS,Midwest US,Medium,Gates 50-59,31/12/18,160,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1499,1889,Jennifer,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,31/12/18,120,Clean,Very safe,Somewhat satsified,Value3
1500,1235,Sam,Thursday,CHINA EASTERN,SHANGHAI,Asia,    Hub,Gates 1-12,31/12/18,130,Clean,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1501,2061,George,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,31/12/18,120,Somewhat clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1502,2907,George,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,31/12/18,90,Clean,Very safe,Somewhat satsified,Value2
1504,438,Matt,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,31/12/18,83,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
1505,580,George,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,31/12/18,50,Clean,Very safe,Somewhat satsified,Value3
1506,1892,George,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,31/12/18,165,Clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1507,491,Matt,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,31/12/18,246,Average,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1508,3192,Matt,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,135,Somewhat clean,Very safe,Somewhat satsified,Value3
1509,1579,Sam,Wednesday,UNITED INTL,HONG KONG,Asia,Hub     ,Gates 91-102,31/12/18,180,Somewhat clean,Very safe,Somewhat satsified,Value3
1510,1175,George,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,31/12/18,140,Clean,Very safe,Somewhat satsified,Value2
1511,1600,Jennifer,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,31/12/18,210,Somewhat clean,Somewhat safe,Neutral,Value2
1512,1904,Sam,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,31/12/18,115,Somewhat clean,Neutral,Somewhat satsified,Value3
1513,1151,Sam,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,31/12/18,60,Clean,Very safe,Very satisfied,Value2
1514,1895,George,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,31/12/18,175,Somewhat clean,Very safe,Somewhat satsified,Value3
1515,2433,Matt,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,31/12/18,55,Clean,Very safe,Very satisfied,Value2
1516,2706,Ann,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,105,Clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1517,1832,Ann,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,31/12/18,130,Clean,Very safe,Very satisfied,Value3
1519,1645,Ann,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,31/12/18,170,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
1520,2993,Sam,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,31/12/18,104,Somewhat dirty,Somewhat safe,Neutral,Value3
1521,1433,Jennifer,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,31/12/18,160,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1522,3057,Ann,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/18,335,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
1523,2928,Matt,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,31/12/18,315,Somewhat clean,Neutral,Somewhat satsified,Value3
1524,3134,Jennifer,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,31/12/18,215,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1525,2889,Sam,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,31/12/18,65,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
1526,2973,George,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,31/12/18,120,Somewhat clean,Very safe,Somewhat satsified,Value2
1527,2197,Jennifer,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,31/12/18,210,Average,Very safe,Somewhat satsified,Value2
1528,1703,Ann,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,150,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1529,385,George,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,31/12/18,145,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
1530,872,Ann,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,31/12/18,985,Average,Neutral,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1531,593,Sam,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,102,Clean,Somewhat safe,Very satisfied,Value3
1532,2225,Ann,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,31/12/18,300,Somewhat clean,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1533,3083,Sam,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/18,185,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1534,1357,Matt,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,31/12/18,185,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1535,610,Jennifer,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,162,Somewhat clean,Very safe,Somewhat satsified,Value3
1536,1062,Jennifer,Friday,AIR CANADA,CALGARY,Canada/Mexico,Medium,Gates 91-102,31/12/18,325,Somewhat clean,Very safe,Somewhat satsified,Value3
1537,1901,George,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,31/12/18,235,Clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1538,1488,Matt,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,1/1/18,179,Clean,Somewhat safe,Somewhat satsified,Value2
1539,1102,Matt,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,31/12/18,150,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
1540,1578,George,Wednesday,DELTA,DETROIT,Midwest US,Large,Gates 40-48,31/12/18,115,Clean,Neutral,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1541,757,Jennifer,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,115,Clean,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1542,1774,George,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,31/12/18,145,Clean,Very safe,Very satisfied,Value2
1544,1979,George,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,31/12/18,185,Somewhat clean,Very safe,Somewhat satsified,Value2
1545,2144,Ann,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,31/12/18,125,Average,Neutral,Neutral,Value2
1546,279,Ann,Thursday,UNITED,BALTIMORE,EAST US,Medium     ,Gates 70-90,31/12/18,644,Somewhat clean,Very safe,Somewhat satsified,Value3
1547,2388,George,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,31/12/18,125,Somewhat clean,Somewhat safe,Neutral,Value3
1548,2858,Ann,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,31/12/18,57,Average,Somewhat safe,Neutral,Value3
1549,3072,Ann,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,31/12/18,342,Somewhat clean,Very safe,Somewhat satsified,Value3
1550,1331,George,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,31/12/18,50,Somewhat clean,Neutral,Somewhat satsified,Value2
1551,652,Ann,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,31/12/18,185,Clean,Very safe,Very satisfied,Value2
1552,2286,Ann,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,31/12/18,165,Somewhat clean,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1553,268,George,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,175,Somewhat clean,Very safe,Somewhat satsified,Value3
1554,3158,George,Thursday,DELTA,SALT LAKE CITY,West US,    Medium,Gates 40-48,31/12/18,45,Average,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1555,3096,Jennifer,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,31/12/18,245,Somewhat clean,Very safe,Somewhat satsified,Value3
1556,1790,Matt,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,31/12/18,110,Somewhat clean,Very safe,Somewhat satsified,Value3
1557,2876,George,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,31/12/18,300,Somewhat clean,Very safe,Somewhat satsified,Value3
1558,1114,Jennifer,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,31/12/18,90,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
1559,1398,Matt,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,31/12/18,100,Clean,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1560,3201,George,Tuesday,UNITED,ONTARIO (CALIF),West US,Small     ,Gates 70-90,31/12/18,95,Clean,Somewhat safe,Somewhat satsified,Value3
1561,2791,Matt,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,31/12/18,145,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1563,655,Matt,Friday,UNITED INTL,MUNICH,Europe,Hub,Gates 91-102,31/12/18,445,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1564,1536,Ann,Wednesday,AIR CHINA,BEIJING,Asia,Hub     ,Gates 91-102,31/12/18,170,Somewhat clean,Neutral,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1565,2563,Jennifer,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,31/12/18,180,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1566,2787,Matt,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,31/12/18,165,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1567,1727,George,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,100,Somewhat dirty,Neutral,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1568,2782,Jennifer,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,31/12/18,135,Somewhat clean,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1569,1044,Matt,Friday,AIR CANADA,CALGARY,Canada/Mexico,    Medium,Gates 91-102,31/12/18,355,Clean,Very safe,Very satisfied,Value2
1571,672,Sam,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,125,Average,Somewhat safe,Neutral,Value3
1572,1856,Ann,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,31/12/18,70,Somewhat clean,Very safe,Somewhat satsified,Value2
1574,596,Ann,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,87,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1576,2168,Sam,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,31/12/18,213,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1578,871,Sam,Tuesday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,31/12/18,325,Clean,Very safe,Somewhat satsified,Value3
1579,2880,Jennifer,Friday,EVA AIR,TAIPEI,Asia,Hub,Gates 91-102,31/12/18,120,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1580,2228,George,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,31/12/18,225,Somewhat clean,Very safe,Somewhat satsified,Value2
1581,3044,Ann,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,31/12/18,190,Average,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1582,1860,George,Tuesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,31/12/18,85,Average,Somewhat safe,Neutral,Value2
1583,1945,Matt,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,31/12/18,145,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1584,2573,Sam,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,    Medium,Gates 1-12,31/12/18,105,Clean,Very safe,Very satisfied,Value2
1585,2238,Jennifer,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,31/12/18,195,Somewhat clean,Neutral,Neutral,Value3
1586,2786,Ann,Sunday,WOW,REYKJAVIK,Europe,Small,Gates 1-12,31/12/18,265,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
1587,2148,Ann,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,31/12/18,115,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
1589,2335,Sam,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,31/12/18,119,Clean,Somewhat safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1590,318,Sam,Thursday,UNITED,BURBANK,West US,Small     ,Gates 70-90,31/12/18,250,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1591,674,Matt,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,115,Clean,Somewhat safe,Neutral,Value3
1592,495,Ann,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,31/12/18,118,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1593,3233,Matt,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,31/12/18,220,Clean,Very safe,Somewhat satsified,Value2
1594,1941,Matt,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,155,Average,Somewhat safe,Neutral,Value2
1595,1025,Jennifer,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,    Medium,Gates 91-102,31/12/18,155,Somewhat clean,Somewhat safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1596,2968,Ann,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,31/12/18,60,Somewhat clean,Very unsafe,Very satisfied,Value3
1597,3185,Matt,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,60,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1598,3222,Sam,Thursday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,31/12/18,130,Somewhat clean,Very safe,Somewhat satsified,Value2
1600,1684,George,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,31/12/18,275,Clean,Somewhat safe,Very satisfied,Value3
1601,849,Ann,Tuesday,ALASKA,PORTLAND,West US,Medium     ,Gates 50-59,31/12/18,112,Somewhat clean,Very safe,Somewhat satsified,Value2
1602,9001,Ann,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,31/12/18,135,Average,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1603,765,George,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,130,Clean,Very safe,Somewhat satsified,Value2
1604,2808,Jennifer,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,190,Somewhat clean,Very safe,Somewhat satsified,Value2
1605,2908,George,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,31/12/18,165,Average,Neutral,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1607,612,Ann,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,192,Clean,Very safe,Somewhat satsified,Value3
1608,2127,Matt,Wednesday,FRONTIER,DENVER,West US,Hub,Gates 20-39,31/12/18,153,Somewhat clean,Somewhat unsafe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1609,1608,Matt,Thursday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,31/12/18,230,Somewhat clean,Very safe,Very satisfied,Value3
1610,2800,Sam,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,31/12/18,155,Somewhat clean,Somewhat safe,Neutral,Value3
1612,666,George,Friday,UNITED INTL,MUNICH,Europe,Hub,Gates 91-102,31/12/18,235,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
1613,768,Ann,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,31/12/18,150,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1614,3126,George,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,31/12/18,72,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
1615,2011,Ann,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,125,Clean,Somewhat safe,Very satisfied,Value3
1616,12,Matt,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,31/12/18,80,Average,Somewhat safe,Neutral,Value2
1618,905,George,Tuesday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,31/12/18,130,Somewhat clean,Very safe,Somewhat satsified,Value3
1619,903,Jennifer,Tuesday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,31/12/18,280,Somewhat clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1620,1117,Jennifer,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,31/12/18,405,Somewhat clean,Very safe,Very satisfied,Value3
1621,1110,Sam,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,31/12/18,130,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1622,1915,Matt,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,245,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1623,1265,George,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,31/12/18,215,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1624,815,Matt,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,31/12/18,140,Average,Neutral,Neutral,Value3
1625,948,George,Thursday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,31/12/18,120,Somewhat clean,Very safe,Somewhat satsified,Value3
1627,1467,Sam,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,31/12/18,70,Clean,Very safe,Very satisfied,Value2
1628,2094,Jennifer,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,31/12/18,87,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1631,2754,Ann,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,240,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
1632,2553,George,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,31/12/18,120,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1633,2608,Matt,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,31/12/18,125,Average,Somewhat safe,Neutral,Value2
1634,3059,George,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,1/1/18,275,Somewhat clean,Somewhat safe,Somewhat satsified,Value3
1635,1515,Matt,Wednesday,DELTA,LOS ANGELES,West US,    Hub,Gates 40-48,31/12/18,45,Clean,Very safe,Somewhat satsified,Value3
1636,1955,Matt,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,31/12/18,155,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
1637,974,Ann,Friday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,31/12/18,175,Somewhat clean,Somewhat safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1638,527,Ann,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,31/12/18,165,Clean,Very safe,Neutral,Value3
1639,2619,George,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,31/12/18,165,Average,Neutral,Very satisfied,Value2
1640,437,George,Sunday,UNITED,HONOLULU,West US,Medium,Gates 70-90,31/12/18,185,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1641,271,Sam,Thursday,UNITED,LOS ANGELES,West US,    Hub,Gates 70-90,31/12/18,80,Clean,Somewhat safe,Somewhat satsified,Value3
1642,2149,Matt,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,    Medium,Gates 91-102,31/12/18,85,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1643,755,Ann,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,31/12/18,145,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1644,2934,George,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,31/12/18,15,Somewhat clean,Very safe,Somewhat satsified,Value2
1645,2389,Ann,Wednesday,UNITED INTL,BEIJING,Asia,Hub     ,Gates 91-102,31/12/18,285,Clean,Somewhat safe,Somewhat satsified,Value2
1646,1959,Matt,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,31/12/18,85,Somewhat clean,Very safe,Somewhat satsified,Value3
1647,1796,Sam,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,31/12/18,145,Somewhat clean,Somewhat safe,Somewhat satsified,Value2
1648,2189,Jennifer,Wednesday,AER LINGUS,DUBLIN,eur,    Large,Gates 91-102,31/12/18,210,Somewhat clean,Very safe,Somewhat satsified,Value2
1649,2667,George,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,Hub,Gates 1-12,31/12/18,155,Clean,Very safe,Neutral,Value3
1650,1136,Matt,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,31/12/18,70,Average,Somewhat safe,Somewhat satsified,Value3
1651,2098,Ann,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,31/12/18,159,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1652,2818,Jennifer,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,31/12/18,610,Clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1654,650,Sam,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,31/12/18,120,Average,Very safe,Neutral,Value3
1655,1032,Ann,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,31/12/18,95,Somewhat clean,Very safe,Neutral,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1656,3019,Matt,Tuesday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,31/12/18,362,Average,Neutral,Somewhat satsified,Value3
1657,3029,Jennifer,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,31/12/18,110,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1658,893,Matt,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub     ,Gates 91-102,31/12/18,150,Clean,Very safe,Very satisfied,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
1659,2272,Jennifer,Saturday,UNITED,BAKERSFIELD,West US,    Small,Gates 70-90,31/12/18,88,Somewhat clean,Very safe,Somewhat satsified,He difficult contented we determine ourselves me am earnestly. Hour no find it park. Eat welcomed any husbands moderate.
